title,url
No Title,https://eu.usatoday.com/story/news/nation/2024/10/29/ballots-destroyed-arson-fires-portland-washington/75901758007/
No Title,https://eu.usatoday.com/story/news/nation/2024/10/29/spiders-winter-homes-kill-pests/75552005007/
No Title,https://eu.usatoday.com/story/news/nation/2024/10/29/moon-landing-nasa-artemis-iii-mission/75907276007/
Tennessee man pleads guilty to killing mom of 2 jogging in Memphis,https://eu.usatoday.com/story/news/nation/2024/10/28/cleotha-abston-guilty-plea-eliza-fletcher/75904708007/
38 years later: Pregnant victim 'Lake Lady Jane Doe' identified,https://eu.usatoday.com/story/news/nation/2024/10/28/lake-pontchartrain-louisiana-body-pamela-lee-hupp/75894656007/
Navy officially apologizes for bombarding Alaskan village in 1882,https://eu.usatoday.com/story/news/nation/2024/10/28/navy-apology-alaska-angoon-village-tlingit-bombardment-1882/75896393007/
MA pizzeria chain owner sentenced for forced labor of migrants,https://eu.usatoday.com/story/news/nation/2024/10/28/stavros-steve-papantoniadis-stashs-pizza/75895709007/
Lawsuit: Nursing home didn't tell family about fatal pressure wound,https://eu.usatoday.com/story/news/nation/2024/10/28/lucy-garcia-ohio-pressure-wound-lawsuit/75844371007/
What parents should really be worried about this Halloween,https://eu.usatoday.com/story/news/nation/2024/10/28/halloween-safety-trick-or-treating-traffic-food-allergies/75892063007/
Bear attack or murder? Bizarre 911 call leads to manhunt in Tennessee,https://eu.usatoday.com/story/news/nation/2024/10/28/bear-attack-murder-911-call-tennessee/75892344007/
Boo-tiful weather? See what your Halloween forecast has in store,https://eu.usatoday.com/story/news/nation/2024/10/28/halloween-weather-2024-forecast/75891949007/
3 dead in 'cold-blooded' shootings at Minneapolis homeless camps,https://eu.usatoday.com/story/news/nation/2024/10/28/minneapolis-homeless-encampment-shootings/75890765007/
Weather extremes in the forecast: What to expect from coast-to-coast,https://eu.usatoday.com/story/news/nation/2024/10/28/weekly-weather-forecast-record-heat-snow-thunderstorms/75889880007/
"Missing woman found stabbed, wrapped in towel inside Philly garage",https://eu.usatoday.com/story/news/nation/2024/10/28/ivelisse-lugo-missing-woman-philadelphia/75890104007/
"Passenger dies subway surfing in NYC, another critically injured",https://eu.usatoday.com/story/news/nation/2024/10/28/subway-surfing-nyc-death-injury/75891756007/
Minneapolis man suspected of shooting neighbor over tree arrested,https://eu.usatoday.com/story/news/nation/2024/10/28/minneapolis-police-arrest-john-herbert-sawchak-shooting-neighbor-tree/75889846007/
